CustomerID,CustomerName,Segment,City,RegistrationDate
C1000,Customer_0,Retail,Astana,2025-02-12
C1001,Customer_1,VIP,Shymkent,2024-06-22
C1002,Customer_2,Corporate,Almaty,2025-01-24
C1003,Customer_3,Retail,Almaty,2024-05-18
C1004,Customer_4,Retail,Almaty,2024-09-28
C1005,Customer_5,Retail,Almaty,2024-07-15
C1006,Customer_6,Retail,Karaganda,2024-07-15
C1007,Customer_7,Corporate,Almaty,2025-05-31
C1008,Customer_8,Corporate,Karaganda,2025-09-02
C1009,Customer_9,Corporate,Karaganda,2024-10-02
C1010,Customer_10,Retail,Almaty,2024-06-18
C1011,Customer_11,VIP,Almaty,2025-08-10
C1012,Customer_12,Corporate,Astana,2025-02-11
C1013,Customer_13,Retail,Shymkent,2024-06-10
C1014,Customer_14,Retail,Almaty,2025-09-01
C1015,Customer_15,Retail,Astana,2024-10-17
C1016,Customer_16,Retail,Astana,2024-02-28
C1017,Customer_17,Retail,Shymkent,2025-11-19
C1018,Customer_18,Retail,Karaganda,2025-06-19
C1019,Customer_19,Retail,Almaty,2024-01-27
C1020,Customer_20,Corporate,Shymkent,2024-04-16
C1021,Customer_21,Retail,Almaty,2025-07-18
C1022,Customer_22,Retail,Astana,2025-03-15
C1023,Customer_23,Retail,Astana,2025-01-11
C1024,Customer_24,Retail,Karaganda,2024-11-14
C1025,Customer_25,Corporate,Astana,2025-06-07
C1026,Customer_26,Retail,Astana,2025-03-01
C1027,Customer_27,Retail,Shymkent,2024-02-13
C1028,Customer_28,Retail,Almaty,2024-09-09
C1029,Customer_29,Retail,Almaty,2024-03-15
C1030,Customer_30,Corporate,Shymkent,2025-03-16
C1031,Customer_31,Retail,Karaganda,2024-10-27
C1032,Customer_32,Retail,Almaty,2025-08-06
C1033,Customer_33,VIP,Astana,2024-12-21
C1034,Customer_34,VIP,Almaty,2025-01-01
C1035,Customer_35,Corporate,Astana,2025-04-14
C1036,Customer_36,Retail,Karaganda,2024-10-10
C1037,Customer_37,Retail,Shymkent,2025-06-19
C1038,Customer_38,Corporate,Almaty,2025-07-27
C1039,Customer_39,Retail,Shymkent,2025-01-17
C1040,Customer_40,Retail,Almaty,2024-09-21
C1041,Customer_41,Retail,Astana,2025-01-03
C1042,Customer_42,Retail,Shymkent,2024-09-26
C1043,Customer_43,VIP,Almaty,2025-08-23
C1044,Customer_44,Retail,Astana,2025-06-20
C1045,Customer_45,Corporate,Shymkent,2025-09-23
C1046,Customer_46,Retail,Shymkent,2024-06-21
C1047,Customer_47,Retail,Almaty,2024-07-29
C1048,Customer_48,Retail,Almaty,2024-07-26
C1049,Customer_49,Retail,Almaty,2024-12-02
C1050,Customer_50,VIP,Astana,2024-07-07
C1051,Customer_51,Corporate,Almaty,2025-04-22
C1052,Customer_52,VIP,Shymkent,2024-03-03
C1053,Customer_53,Corporate,Shymkent,2024-12-08
C1054,Customer_54,Retail,Almaty,2024-05-05
C1055,Customer_55,VIP,Almaty,2024-12-17
C1056,Customer_56,Retail,Karaganda,2025-04-16
C1057,Customer_57,Retail,Shymkent,2024-09-12
C1058,Customer_58,Retail,Astana,2025-10-28
C1059,Customer_59,Retail,Karaganda,2025-01-13
C1060,Customer_60,Retail,Almaty,2024-10-22
C1061,Customer_61,Retail,Almaty,2025-10-28
C1062,Customer_62,Corporate,Shymkent,2025-01-11
C1063,Customer_63,Retail,Almaty,2024-05-13
C1064,Customer_64,Retail,Astana,2025-10-23
C1065,Customer_65,Retail,Shymkent,2025-02-14
C1066,Customer_66,Retail,Almaty,2024-01-20
C1067,Customer_67,Corporate,Shymkent,2025-10-02
C1068,Customer_68,Retail,Almaty,2024-02-15
C1069,Customer_69,VIP,Almaty,2025-03-21
C1070,Customer_70,Corporate,Almaty,2024-07-07
C1071,Customer_71,Retail,Astana,2024-03-27
C1072,Customer_72,Retail,Astana,2024-11-15
C1073,Customer_73,Corporate,Shymkent,2024-10-05
C1074,Customer_74,Corporate,Almaty,2024-10-23
C1075,Customer_75,Corporate,Almaty,2024-08-11
C1076,Customer_76,Corporate,Astana,2025-10-13
C1077,Customer_77,Retail,Almaty,2024-04-25
C1078,Customer_78,Retail,Astana,2024-12-10
C1079,Customer_79,Retail,Almaty,2024-02-24
C1080,Customer_80,Corporate,Shymkent,2025-03-24
C1081,Customer_81,Corporate,Almaty,2024-02-09
C1082,Customer_82,Retail,Almaty,2024-10-01
C1083,Customer_83,Retail,Karaganda,2024-12-04
C1084,Customer_84,Retail,Astana,2024-01-14
C1085,Customer_85,Retail,Almaty,2024-03-23
C1086,Customer_86,Corporate,Almaty,2025-05-13
C1087,Customer_87,Corporate,Karaganda,2024-09-19
C1088,Customer_88,Corporate,Karaganda,2025-09-17
C1089,Customer_89,Retail,Astana,2025-03-22
C1090,Customer_90,Retail,Karaganda,2025-07-01
C1091,Customer_91,Corporate,Shymkent,2024-01-16
C1092,Customer_92,Corporate,Karaganda,2025-08-14
C1093,Customer_93,Retail,Shymkent,2025-05-16
C1094,Customer_94,Corporate,Astana,2025-11-05
C1095,Customer_95,Retail,Astana,2025-06-28
C1096,Customer_96,Retail,Astana,2025-09-06
C1097,Customer_97,Retail,Astana,2024-08-20
C1098,Customer_98,Retail,Astana,2025-04-28
C1099,Customer_99,Retail,Shymkent,2024-11-18
C1100,Customer_100,Retail,Shymkent,2025-09-27
C1101,Customer_101,Corporate,Astana,2024-01-04
C1102,Customer_102,Retail,Karaganda,2025-09-05
C1103,Customer_103,Retail,Almaty,2025-05-04
C1104,Customer_104,VIP,Astana,2025-06-23
C1105,Customer_105,Retail,Karaganda,2024-09-16
C1106,Customer_106,Retail,Almaty,2025-08-18
C1107,Customer_107,Corporate,Astana,2025-02-15
C1108,Customer_108,Retail,Astana,2024-01-18
