OrderID,OrderDate,CustomerID,ProductID,ManagerID,Quantity,UnitPrice,DiscountPct,Cost
O10000,2025-12-21,C1028,P1070,M102,4,796.08,0.2,516.36
O10000,2025-12-21,C1028,P1008,M102,3,790.71,0.0,469.3
O10001,2025-07-02,C1349,P1114,M103,5,780.79,0.0,398.25
O10002,2024-03-22,C1046,P1098,M107,2,764.83,0.1,555.57
O10002,2024-03-22,C1046,P1009,M107,5,119.53,0.15,76.15
O10002,2024-03-22,C1046,P1103,M107,4,403.31,0.2,266.97
O10002,2024-03-22,C1046,P1118,M107,5,236.96,0.15,173.35
O10003,2024-03-30,C1218,P1011,M103,3,644.74,0.1,431.75
O10003,2024-03-30,C1218,P1096,M103,2,259.28,0.2,193.95
O10004,2025-07-05,C1066,P1027,M104,2,349.1,0.05,273.76
O10005,2024-09-24,C1293,P1051,M106,4,912.73,0.05,623.79
O10005,2024-09-24,C1293,P1045,M106,4,597.03,0.15,399.74
O10005,2024-09-24,C1293,P1085,M106,4,792.18,0.2,564.17
O10006,2024-08-02,C1377,P1003,M100,2,773.53,0.05,402.76
O10006,2024-08-02,C1377,P1006,M100,3,739.08,0.0,574.76
O10007,2025-03-17,C1205,P1016,M105,1,122.11,0.2,67.12
O10007,2025-03-17,C1205,P1037,M105,4,133.42,0.0,80.0
O10008,2025-03-27,C1230,P1085,M103,3,595.36,0.2,365.43
O10008,2025-03-27,C1230,P1107,M103,5,341.85,0.15,251.72
O10008,2025-03-27,C1230,P1009,M103,2,340.16,0.15,224.92
O10008,2025-03-27,C1230,P1000,M103,3,923.73,0.05,595.11
O10009,2024-07-29,C1454,P1073,M100,3,457.7,0.1,233.36
O10009,2024-07-29,C1454,P1062,M100,3,149.45,0.0,97.07
O10010,2024-08-29,C1130,P1081,M107,5,915.7,0.0,672.26
O10010,2024-08-29,C1130,P1015,M107,3,635.94,0.15,358.55
O10010,2024-08-29,C1130,P1045,M107,1,186.26,0.15,118.78
O10011,2025-12-09,C1461,P1034,M102,4,420.48,0.15,277.74
O10011,2025-12-09,C1461,P1021,M102,1,306.6,0.2,189.85
O10012,2024-04-05,C1167,P1097,M107,3,217.81,0.1,131.73
O10012,2024-04-05,C1167,P1089,M107,5,628.73,0.2,403.41
O10012,2024-04-05,C1167,P1060,M107,3,75.05,0.1,47.73
O10013,2025-01-08,C1355,P1069,M105,2,539.11,0.0,334.37
O10013,2025-01-08,C1355,P1013,M105,3,163.69,0.0,98.26
O10013,2025-01-08,C1355,P1097,M105,3,379.58,0.05,291.98
O10013,2025-01-08,C1355,P1071,M105,2,414.65,0.15,311.79
O10014,2024-09-22,C1020,P1050,M104,5,413.9,0.0,234.51
O10014,2024-09-22,C1020,P1096,M104,3,510.45,0.0,377.72
O10014,2024-09-22,C1020,P1110,M104,3,888.59,0.15,507.79
O10014,2024-09-22,C1020,P1044,M104,2,807.26,0.1,636.76
O10015,2024-01-12,C1183,P1093,M107,4,671.4,0.2,417.56
O10016,2024-02-10,C1270,P1034,M101,2,22.87,0.0,12.86
O10016,2024-02-10,C1270,P1010,M101,3,131.55,0.1,88.78
O10016,2024-02-10,C1270,P1027,M101,4,706.91,0.0,526.81
O10016,2024-02-10,C1270,P1015,M101,4,342.51,0.05,208.56
O10017,2025-04-30,C1215,P1035,M104,4,832.35,0.2,518.41
O10018,2024-04-12,C1119,P1031,M102,1,441.77,0.15,249.98
O10018,2024-04-12,C1119,P1090,M102,2,765.97,0.0,582.55
O10019,2024-04-02,C1150,P1059,M102,3,895.61,0.0,578.06
O10019,2024-04-02,C1150,P1017,M102,1,275.99,0.05,190.45
O10020,2025-01-18,C1162,P1048,M107,1,147.96,0.1,92.7
O10020,2025-01-18,C1162,P1048,M107,2,530.43,0.2,375.21
O10020,2025-01-18,C1162,P1001,M107,5,28.21,0.05,18.59
O10021,2024-07-19,C1164,P1043,M106,2,580.75,0.05,386.93
O10021,2024-07-19,C1164,P1074,M106,1,502.49,0.15,282.36
O10022,2024-09-23,C1229,P1073,M107,2,148.62,0.1,114.44
O10022,2024-09-23,C1229,P1118,M107,3,601.44,0.15,414.95
O10022,2024-09-23,C1229,P1115,M107,5,183.62,0.2,137.98
O10022,2024-09-23,C1229,P1039,M107,5,389.31,0.05,243.95
O10023,2025-11-17,C1164,P1043,M106,2,174.62,0.1,96.97
O10023,2025-11-17,C1164,P1001,M106,5,607.12,0.05,315.99
O10023,2025-11-17,C1164,P1075,M106,3,295.81,0.15,211.72
O10024,2024-02-28,C1242,P1070,M103,3,949.81,0.2,612.75
O10025,2024-06-11,C1285,P1045,M104,2,40.87,0.15,22.42
O10025,2024-06-11,C1285,P1082,M104,4,60.91,0.1,41.36
O10025,2024-06-11,C1285,P1109,M104,2,627.1,0.05,333.6
O10026,2024-08-02,C1306,P1036,M105,1,358.02,0.0,232.23
O10026,2024-08-02,C1306,P1065,M105,3,602.3,0.0,345.67
O10027,2025-03-21,C1380,P1092,M102,3,86.99,0.15,61.62
O10027,2025-03-21,C1380,P1074,M102,2,112.06,0.2,59.11
O10027,2025-03-21,C1380,P1107,M102,3,962.48,0.0,755.62
O10028,2024-04-23,C1284,P1099,M102,1,193.28,0.1,139.1
O10028,2024-04-23,C1284,P1002,M102,5,761.45,0.2,538.87
O10028,2024-04-23,C1284,P1005,M102,1,904.33,0.15,512.18
O10028,2024-04-23,C1284,P1033,M102,2,61.08,0.05,31.26
O10029,2025-05-03,C1308,P1060,M104,2,592.38,0.0,328.28
O10029,2025-05-03,C1308,P1049,M104,5,478.48,0.2,344.17
O10029,2025-05-03,C1308,P1045,M104,3,925.15,0.05,579.63
O10029,2025-05-03,C1308,P1096,M104,5,479.47,0.15,361.22
O10030,2024-09-28,C1018,P1007,M103,2,527.21,0.0,366.44
O10030,2024-09-28,C1018,P1086,M103,3,565.07,0.2,295.58
O10031,2025-06-07,C1039,P1117,M105,5,534.96,0.05,383.8
O10031,2025-06-07,C1039,P1043,M105,4,576.7,0.0,381.5
O10031,2025-06-07,C1039,P1109,M105,1,740.48,0.0,567.05
O10031,2025-06-07,C1039,P1052,M105,2,877.9,0.05,445.38
O10032,2024-05-19,C1067,P1065,M102,2,990.44,0.1,755.12
O10032,2024-05-19,C1067,P1063,M102,5,390.12,0.1,203.26
O10032,2024-05-19,C1067,P1086,M102,4,62.16,0.0,38.58
O10032,2024-05-19,C1067,P1017,M102,5,484.98,0.15,385.67
O10033,2024-04-02,C1305,P1037,M104,2,100.78,0.15,72.69
O10033,2024-04-02,C1305,P1009,M104,1,119.37,0.05,70.3
